Time,ADS1015-raw,ADS1015_v,ESP8266_ADC,ESP8266_v,,Voltage Error,,,,,,,,,,,,,,,,
2/22/2016 17:26,1399,4.2,733,4.12,,-1.9%,,,,,,,,,,,,,,,,
2/22/2016 17:27,1399,4.2,733,4.12,,-1.9%,,,Battery Monitor - Test Conditions:,,,,,,,,,,,,,
2/22/2016 17:31,1389,4.17,729,4.1,,-1.7%,,,"Adafruit Feather ESP8266, fitted with a 500 ma-h litium-ion battery and an Adafruit ADS1015 ADC breakout board",,,,,,,,,,,,,
2/22/2016 17:36,1378,4.13,729,4.1,,-0.7%,,,ADS1015 is only sampled once (column C),,,,,,,,,,,,,
2/22/2016 17:41,1390,4.17,729,4.1,,-1.7%,,,Arduino code samples the ESP8266 10 times and provides an averaged result (column D),,,,,,,,,,,,,
2/22/2016 17:46,1388,4.16,729,4.1,,-1.4%,,,ESP8266 sends the data to a Rapberry Pi2 that is running mysql and  is then put to sleep for 5 minutes. ,,,,,,,,,,,,,
2/22/2016 17:51,1386,4.16,729,4.1,,-1.4%,,,,"ESP.deepSleep(SLEEP_TIME * 1000000, WAKE_RF_DEFAULT);",,,,,,,,,,,,
2/22/2016 17:55,1380,4.14,728,4.1,,-1.0%,,,Voltage Divider:  100K + 20K resistors (1%) measured values. 100K resistor is tied to the Battery output and then connected to the 20K resistor,,,,,,,,,,,,,
2/22/2016 18:00,1384,4.15,728,4.1,,-1.2%,,,,other side of 20K resister tied to ground,,,,,,,,,,,,
2/22/2016 18:05,1378,4.13,728,4.1,,-0.7%,,,Both ESP8266 and ADS1015 were measuring the voltage across the 20K resistor and ground,,,,,,,,,,,,,
2/22/2016 18:10,1381,4.14,727,4.09,,-1.2%,,,ADS1015 was set for a gain of four -> 1 bit = 0.5mV,,,,,,,,,,,,,
2/22/2016 18:15,1381,4.14,727,4.09,,-1.2%,,,Column C (ADS1015_v) is therefore the value in column B (ADS1015-raw) * 0.5 mV * 6 (six is the voltage divider ratio),,,,,,,,,,,,,
2/22/2016 18:20,1385,4.15,727,4.09,,-1.4%,,,Column D (ESP8266_ADC) is the value returned by the 8266 adc.,,,,,,,,,,,,,
